country,code,year,region,incgroup,kyoto,co2_pc,co2_gdp,ghse,gdp_pc,gdp_g,gdp_g5,unem,gobexp,hmcd,lendborr,fiscrev,expfuel,tourism,daysbus,imp,exp,tradebal,urbanpop,denspop,minexp,lifexp,school,elec_pc,pop,pop_g,inf,rir,capform,ind_work,savings,cer_yield,agr_prod,fert_cons,forest,energy_gdp,surface,elect_rnw,natrent,minrent,gasrent,forrent,coalrent,energy_pc,fossil_use,agr_va,agr_emp,pol_syst,pol_or,pol_dem,cci,ind_va,serv_emp,oilrent,gasrent,impfuel
Austria,AUT,2003,Europe & Central Asia,High income,1,8.847570801,0.185418534,92659.8411,47716.75534,0.941470921,2.686440264,4.78000021,46.03612849,0.611556834,-1.774603789,26.64696993,2.548905642,,25,41.8169677,44.57041472,2.753447022,59.375,98.34612497,2.51799343,78.63170732,100.4638214,7695.080037,8121423,0.487133895,1.355556733,,24.40874646,28.92000008,,5255.4,97.56,133.6550655,46.56887866,4.206381086,83879,60.78282872,0.153375385,0,0.03642895,0.080406579,0.000461361,7695.080037,93.88602451,1.491931898,5.5,Parliamentary,Left,10,2.019736,27.49837986,65.58000183,0.036078496,0.03642895,7.967618927
Azerbaijan,AZE,2003,Europe & Central Asia,Upper middle income,1,3.718169927,0.706226506,44116.8124,5264.840526,10.20830001,9.567783346,9.170000076,,2.188620061,,,86.00897294,2.303944221,105,65.54537186,42.00657665,-23.53879521,51.988,99.62372356,2.310545781,67.791,96.21324158,2235.459856,8234100,0.757650956,2.23386493,7.942301035,53.17148254,11.71000004,24.93197818,2604.1,73.45,7.642099538,12.10862895,10.49405336,86600,11.59917317,26.0477788,0.000193574,3.130430537,0.001345883,0,2235.459856,78.1444293,12.42566291,39.88999939,,NA,-7,-1.007087,48.53984468,48.40999985,22.9158088,3.130430537,11.26713324
Burundi,BDI,2003,Sub-Saharan Africa,Low income,1,0.023352787,0.029013817,5258.7489,804.8850292,-1.22372796,1.877092492,1.889999986,,,,,0.321407693,2.676456698,13,20.99489805,6.381414025,-14.61348403,8.908,269.048053,0.631444166,51.69,71.1733017,,6909154,3.012598038,10.64746457,5.614402302,7.868790037,2.410000086,6.913309628,1284.1,92.12,0.304040404,7.552180685,15.48795612,27830,98.06763285,40.55010865,0.123343912,0,40.42676473,0,0,96.94923599,42.8412837,90.93000031,Presidential,NA,3,-0.8953395,15.74171231,6.659999847,0,0,18.45336678
Belgium,BEL,2003,Europe & Central Asia,High income,1,10.88211417,0.24563998,144031.572,44301.07094,1.037982549,2.405546918,7.679999828,42.55644199,2.207499375,-1.87218928,25.07661801,5.348459911,4.048872833,56,63.67904433,69.03650851,5.357464184,97.296,342.6728203,2.119906494,78.12926829,102.3609085,8411.900657,10376133,0.418641508,1.588964,,20.96470771,24.92000008,25.72852973,8530.7,93.45,339.4215569,22.26126156,6.208527992,30530,1.426502794,0.021740691,0,0,0.021740691,0,8411.900657,,1.029444503,1.720000029,Parliamentary,Right,10,1.419816,23.22665489,73.36000061,0,0,8.716653723
Benin,BEN,2003,Sub-Saharan Africa,Lower middle income,1,0.313037269,0.121346472,36885.5379,2579.69815,3.443576776,5.027268458,0.730000019,,,,,0,15.095914,35.5,22.97193331,18.64429725,-4.327636057,39.536,66.69523767,0.168931912,56.436,99.79704285,64.6228902,7520555,3.039674832,1.487242461,,15.16379004,19.60000038,11.45091427,1148.7,60.98,0.802264151,35.34187655,7.655789775,114760,2.5,4.187371032,0.00105727,0,4.15079855,0,64.6228902,75.23284587,24.45398374,47.06999969,Presidential,NA,6,-0.478256,21.76533589,33.33000183,0.035515212,0,20.04325753
Burkina Faso,BFA,2003,Sub-Saharan Africa,Low income,1,0.085194017,0.05971751,43713.288,1426.61705,7.802493889,5.51156018,2.779999971,9.306384708,0.640082234,-1.804360168,9.861311204,0.039216857,,40,21.14780475,9.220431658,-11.92737309,19.996,46.25226974,0.021316313,51.956,49.31103897,,12654621,2.898431555,2.034565741,,15.45928136,9.050000191,,996.3,70.95,10.39137255,25.82785088,4.997043287,274220,21.56995052,6.356587761,0.023859472,0,6.332728289,0,0,32.0774443,25.96097682,73.45999908,Presidential,Right,0,-0.011932,22.62507399,17.48999977,0,0,16.87701855
Bangladesh,BGD,2003,South Asia,Lower middle income,1,0.260732325,0.124325872,146424.251,2097.16867,4.739567399,4.810177935,4.320000172,7.836050278,2.57508632,-0.104760792,6.965213904,0.323339463,0.744172998,,16.2267362,11.4311487,-4.795587508,25.429,1035.504364,0.023451666,66.886,,129.3923331,134791603,1.731266118,5.668707734,5.88445428,24.67918886,12.31000042,28.99569589,3479.3,64.41,160.2668935,14.67874549,3.654838129,148460,3.799715909,0.747608298,0,0.479957921,0.193756109,0,129.3923331,,19.8127183,57.18999863,Parliamentary,NA,6,-1.442822,22.47414879,30.51000023,0.073894267,0.479957921,11.09878931
Bulgaria,BGR,2003,Europe & Central Asia,Upper middle income,1,6.084370085,0.489175035,70024.0292,12438.02249,5.151841011,2.111316418,13.72999954,,3.164919469,,19.77171025,5.810626645,20.46012158,39,44.59693706,34.416944,-10.17999306,69.879,71.48411327,10.27736924,72.06585366,104.6338272,3997.902596,7775327,-0.792113638,2.348641696,6.131708752,22.07417218,32.13000107,16.54088047,2371.3,71.25,147.327415,32.02721339,9.551786574,110990,7.156019656,0.885636945,0.453981547,0.003499628,0.314150426,0.098233706,3997.902596,62.3942704,9.095627254,11.14000034,Assembly-Elected President,Left,9,-0.0287626,24.24352883,56.72999954,0.015771638,0.003499628,3.928126054
Bahrain,BHR,2003,Middle East & North Africa,High income,1,21.57701475,0.454473162,20539.28874,47476.98335,6.296441979,4.045914116,1,21.80047213,0.385253523,2.161315809,3.306813188,72.51859669,15.11152812,,56.02851016,72.063072,16.03456184,88.383,1081.538889,17.27302863,74.999,99.80986023,19775.06331,778708,5.756701712,1.593625498,-0.283027354,23.73581036,29.05999947,26.73766934,,100,1466.529412,0.576388889,11.12252323,720,0,5.075147426,0,1.996820733,0.000665347,0,19775.06331,74.09060224,0,1.470000029,Presidential,NA,-7,0.3998932,0,69.47000122,3.077661347,1.996820733,37.642897
"Bahamas, The",BHS,2003,Latin America & Caribbean,High income,1,6.277004046,0.156396374,3556.08428,40135.22748,-1.264526295,4.267928968,10.84000015,11.26256893,15.96816587,-1.868075747,9.288519057,0,71.33673761,,35.25330634,35.81023417,0.556927833,82.134,31.28161838,11.28661197,71.986,,,313129,1.761996908,3.025045263,4.790218817,24.27371086,15.85000038,31.74781794,3400,65.88,,50.93506494,2.670320762,13880,0,0.007119133,0,0,0.007119133,0,0,99.05888346,1.347224211,3,Parliamentary,Center,,1.453112,10.8702392,81.15000153,0,0,13.72943384
