country,code,year,region,incgroup,kyoto,co2_pc,co2_gdp,ghse,gdp_pc,gdp_g,gdp_g5,unem,gobexp,hmcd,lendborr,fiscrev,expfuel,tourism,daysbus,imp,exp,tradebal,urbanpop,denspop,minexp,lifexp,school,elec_pc,pop,pop_g,inf,rir,capform,ind_work,savings,cer_yield,agr_prod,fert_cons,forest,energy_gdp,surface,elect_rnw,natrent,minrent,gasrent,forrent,coalrent,energy_pc,fossil_use,agr_va,agr_emp,pol_syst,pol_or,pol_dem,cci,ind_va,serv_emp,oilrent,gasrent,impfuel
Haiti,HTI,2003,Latin America & Caribbean,Low income,1,0.194884352,0.073424722,7598.8926,2654.206199,3.359387776,1.270477807,11.80000019,,,,,,20.43248766,260,27.57796636,9.47477857,-18.10318779,40.645,322.9355588,,57.959,,28.76370883,8900104,1.653508842,28.69957779,4.11350882,16.91845999,7.119999886,29.24646265,920.8,57.41,,13.78697388,6.303752235,27750,47.6635514,0.845124103,0,0,0.845124103,0,28.76370883,,16.7130469,36.47000122,Presidential,NA,-2,-1.722249,25.29913282,56.40999985,0,0,0
Hungary,HUN,2003,Europe & Central Asia,High income,1,5.82981044,0.261817498,76989.2295,22266.69529,4.084523985,4.053119113,5.789999962,42.66265095,2.248223386,-7.028662507,20.65751041,1.551668072,8.362291218,54,60.27301618,56.33315809,-3.939858087,65.489,113.0278063,1.825881967,72.3,98.11929321,3637.278332,10129552,-0.286433268,4.661016949,3.944695456,24.60774281,33.40000153,16.96748268,3038.9,70.5,95.4970633,21.85601428,5.353633962,93030,0.984038659,0.41154143,0.000467286,0.154506734,0.098270466,0.014188739,3637.278332,,3.901099473,5.380000114,Assembly-Elected President,Left,10,0.6809823,26.383803,61.22000122,0.144108204,0.154506734,5.564697402
Indonesia,IDN,2003,East Asia & Pacific,Upper middle income,1,1.437941508,0.231976434,888646.15,6198.65338,4.780369122,0.145482035,6.659999847,16.25792782,0.742137856,-2.315533394,12.38553206,25.72926239,6.427756948,,23.13883897,30.47765478,7.338815815,44.356,121.6124516,5.69921507,66.631,109.5265274,428.8558292,220309469,1.348842378,6.757317194,10.85207115,25.59849839,17.70999908,21.51102216,4248.1,73.95,131.1321521,55.63889886,4.977443573,1910930,13.6385363,6.764622714,1.253493401,1.215957627,0.893334947,0.221902795,428.8558292,93.98922592,15.18534822,46.38000107,Assembly-Elected President,NA,6,-0.9697266,43.74956609,35.90999985,3.179933944,1.215957627,23.76517703
Isle of Man,IMN,2003,Europe & Central Asia,High income,0,,,,,6,8.82,,,,,,,,,,,,51.869,138.3929825,,,,,78884,0.720095731,,,,,,,,,6.070175439,,570,1.598332175,0,0,,0,,,,,,,NA,,,0,,NA,NA,0
India,IND,2003,South Asia,Lower middle income,1,0.989271008,0.344519169,1976449.15,2871.454178,7.860381476,5.499820825,5.769999981,15.57759372,3.988311009,-3.43004355,9.108084322,6.100975448,5.377673633,,15.64452227,14.94791386,-0.696608417,28.572,373.8486757,3.827161854,63.699,102.6829071,430.4831641,1111523144,1.651490906,3.80586902,7.30788116,29.50377002,17.5,30.69861202,2399.4,70.71,105.1772039,22.92571279,6.333921729,3287260,13.46942476,2.338733557,0.34728004,0.11175075,0.339283734,0.621823473,430.4831641,,19.58060679,57.75999832,Parliamentary,Left,9,-0.4165717,27.47410712,24.73999977,0.918595562,0.11175075,30.07923405
Ireland,IRL,2003,Europe & Central Asia,High income,1,10.6811767,0.203570948,68872.5353,52469.06214,3.019968413,7.967780263,4.480000019,29.72941351,0.929630256,0.056230501,24.16416171,0.242554154,,24,65.70021477,80.8520432,15.15182843,59.925,58.01307882,0.834027489,78.13902439,102.7186279,6092.548994,3996521,1.628950962,3.49048968,,25.74786989,27.73999977,,7100.7,97.94,533.7732657,9.54225577,3.332706721,70280,4.577450625,0.038978721,0,0.019083506,0.019895214,0,6092.548994,42.48637456,1.477826766,6.5,Parliamentary,Right,10,1.459252,32.22005571,65.76000214,0,0.019083506,3.789628412
"Iran, Islamic Rep.",IRN,2003,Middle East & North Africa,Upper middle income,1,6.142390732,0.538423911,516232.685,11408.09426,8.734584435,3.387107641,11.53999996,17.17553163,2.646685265,1.437639122,5.20132535,79.47805549,,81.5,26.05163294,24.62747283,-1.424160113,66.172,41.82503131,1.095175275,71.265,102.290657,1888.688359,68122938,1.237968733,16.46801162,,42.10526704,30.62999916,,2383.4,86.91,93.43421868,5.977280876,6.33782333,1745150,7.229753441,23.44223613,0.09517928,1.116026382,0.02294858,0.005030438,1888.688359,,7.451094561,24.53000069,Presidential,NA,3,-0.2671599,45.05994955,44.84000015,22.20305145,1.116026382,5.729605326
Iraq,IRQ,2003,Middle East & North Africa,Upper middle income,0,3.553105717,0.723246549,107790.878,4912.717141,-33.10083738,9.850194367,9.06000042,,,,,,,,76.84180641,77.39271888,0.550912474,68.658,58.63342022,,68.636,105.9637833,1040.106106,25644499,2.818021457,33.6162106,6.674845059,21.30190844,19.77000046,,1209.8,121.93,25.48888889,1.87507145,5.807578611,438320,1.527875794,,,,,,1040.106106,,8.405608293,27.34000015,Presidential,NA,,-1.213627,70.8382338,52.88999939,NA,NA,0
Iceland,ISL,2003,Europe & Central Asia,High income,0,7.485457013,0.1775759,3941.8621,42153.56374,2.268136943,4.122037131,4,31.98273338,,-1.983328269,23.70877465,0.234564341,13.04292416,,35.62469012,32.6619953,-2.962694822,92.789,2.887990025,19.29801195,80.96341463,98.28539276,27666.38689,289521,0.69249762,2.055663298,11.40359344,21.30717954,21.65999985,17.57519074,,79.39,122.8837209,0.341965087,12.82733862,103000,99.92941176,0,0,0,0,0,27666.38689,83.42907344,6.426343004,6.980000019,Parliamentary,Right,,2.28839,21.17684547,71.36000061,0,0,7.756725656
Israel,ISR,2003,Middle East & North Africa,High income,1,9.400877468,0.312949358,71533.77838,30039.61257,0.970458541,2.918126712,13.51000023,43.4584967,2.723635132,-4.677572197,24.96256443,0.037073577,5.686299307,18,35.38800057,34.63118967,-0.756810905,91.393,309.1358595,1.262232109,79.64878049,106.670723,6597.306307,6689700,1.805519759,0.723963181,,19.84467944,20.59000015,20.90774944,3306.5,89.53,282.9341317,7.084103512,4.958343042,22070,0.091409621,0.000878728,0,0.000160836,0.000289873,0,6597.306307,94.88612059,1.435932472,1.960000038,Parliamentary,Left,6,1.123608,21.89755305,77.44999695,0.00042802,0.000160836,10.9879127
Italy,ITA,2003,Europe & Central Asia,High income,1,8.17175128,0.18605557,564951.183,43921.02469,0.138626891,1.885722492,8.869999886,39.62419835,1.249031762,-2.88816207,22.76357266,2.135904298,8.868110827,23,22.84665187,23.30219291,0.455541047,67.501,194.8500816,1.295154038,79.98292683,102.4251022,5652.519542,57313203,0.444507313,2.672555528,2.600677732,21.17937479,31.77000046,20.49643319,4307.2,104.11,177.7024752,29.12520228,3.624190107,301340,16.37080041,0.084585523,8.96E-05,0.037764806,0.008322155,5.19E-05,5652.519542,54.73352653,2.357959442,4.71999979,Parliamentary,Center,10,0.512423,23.47936449,63.52000046,0.038357043,0.037764806,8.973395213
Jamaica,JAM,2003,Latin America & Caribbean,Upper middle income,1,3.937092097,0.401330737,12959.0415,9810.0936,3.666317593,0.586808877,11.73999977,31.81721364,35.98532242,-5.140131032,24.07110007,2.353392421,46.00761212,31,51.53716185,36.61346899,-14.92369286,52.437,250.178855,67.41926909,74.142,94.69860077,2408.618469,2709437,0.614260869,10.09993338,6.506314028,26.24763549,17.45000076,19.1725967,1230.3,103.55,112.1925926,49.144506,6.893640749,10990,2.518891688,1.413188872,1.310062129,0,0.103126743,0,2408.618469,16.7949858,5.213862004,20.38999939,Parliamentary,Left,9,-0.3838086,21.49253457,62.15999985,0,0,20.8596558
Jordan,JOR,2003,Middle East & North Africa,Upper middle income,1,3.214849384,0.336335178,18728.0081,9558.469028,4.161667319,4.340236207,14.5,29.46592161,,-0.322740246,18.21787761,0.275406106,26.21171592,79.5,68.33433316,47.37212594,-20.96220723,78.308,61.58238894,16.11054924,72.256,97.90625763,1442.207717,5434030,2.167663534,1.63,6.998123518,20.8406422,23.18000031,33.11201709,1417.9,59.59,123.7288136,1.10494107,5.058255278,88780,0.625469102,0.091208367,0,0.058364509,0.031091743,0,1442.207717,79.5043878,2.467019246,4.03000021,Presidential,NA,-2,0.3145591,23.57616805,72.79000092,0.001752116,0.058364509,16.50216798
Japan,JPN,2003,East Asia & Pacific,High income,1,9.716352722,0.268343814,1428102.126,36208.59594,1.528220148,0.384719481,5.300000191,,0.544283057,,,0.330277857,2.199493164,,9.943835932,11.63929347,1.695457534,83.196,350.3923182,1.328404853,81.76,,8164.933682,127718000,0.213980949,-0.256541816,3.495587467,24.39723113,29.14999962,27.07532029,5451,109.11,335.1707983,68.32098765,5.058137375,377900,10.02210957,0.012262852,0.000362297,0.002721162,0.007903982,6.80E-05,8164.933682,24.55431938,1.31480225,4.639999866,Parliamentary,Right,10,1.210685,30.41540301,66.20999908,0.001207387,0.002721162,21.16703778
Kazakhstan,KAZ,2003,Europe & Central Asia,Upper middle income,1,9.538517359,0.682635343,256799.005,13973.07868,9.3,6.78,8.779999733,13.88722184,13.18539117,-0.610995553,13.08323765,61.22103556,4.310105521,32,43.04631033,48.41702209,5.370711764,56.317,5.522472127,14.15321905,65.86585366,102.6658173,3768.792821,14909018,0.336402206,,,25.70391259,16.95999908,30.08604267,1077.5,63.83,1.190392187,1.161055636,8.582789777,2724902,13.50483826,22.33379862,1.449071562,1.875922925,0.011708583,0.822704694,3768.792821,83.13716845,7.862206027,35.25,,NA,-6,-1.026358,35.07526591,47.79000092,18.17439086,1.875922925,10.97945435
Kenya,KEN,2003,Sub-Saharan Africa,Lower middle income,1,0.194776581,0.068605171,46308.659,2839.09474,2.932475546,2.104412747,2.940000057,,,,,19.15510449,17.14744342,60,30.04545059,24.08681531,-5.958635285,20.948,60.93189549,2.954355608,52.41,101.8224182,118.6892999,34678779,2.709600176,9.81569063,9.770510928,16.48214939,8.090000153,9.581505097,1594,67.59,33.09677419,6.778182872,8.541867478,580370,83.61411953,5.093724892,0.019480472,0,5.07424442,0,118.6892999,81.45459441,25.80443937,56.75999832,Presidential,NA,8,-0.8803428,15.62315004,35.15000153,0,0,23.09089749
Kyrgyz Republic,KGZ,2003,Europe & Central Asia,Lower middle income,1,1.078294172,0.319927757,10992.9099,3370.430199,7.03029322,3.305051613,9.920000076,,8.377317575,,,3.342685651,8.282987036,21,45.25165909,38.68112372,-6.570535367,35.293,26.29457769,3.102435247,68.25609756,96.81401062,1644.359844,5043300,1.048444924,2.974612952,19.30883196,11.83001595,15.01000023,10.39118076,2774.2,80.74,24.71056548,6.233232534,9.425725919,199950,85.906854,3.81023021,3.30458643,0.058832734,0.023498609,0.036304451,1644.359844,77.6291092,33.62225264,43.24000168,,NA,-3,-0.9836336,20.24326767,41.75,0.387007986,0.058832734,7.942922666
Cambodia,KHM,2003,East Asia & Pacific,Lower middle income,1,0.185116119,0.10565733,105986.662,1752.042366,8.505895557,8.424910905,1.269999981,9.291034525,3.95918816,-4.41959665,7.537844416,0.000946548,16.73765146,95,66.56034186,56.52047035,-10.03987151,18.937,72.8311976,0.01997532,61.241,131.4835205,51.49281321,12856163,1.713676066,1.210011336,,20.09876028,11.89999962,14.7746806,2160.6,43.44,5.483745946,60.74931453,8.237939398,181040,6.422018349,3.410502631,0,0,3.410502631,0,51.49281321,39.8899549,31.97082205,65.98999786,Assembly-Elected President,Right,2,-0.99476,24.98565248,22.11000061,0,0,11.06233318
Kiribati,KIR,2003,East Asia & Pacific,Lower middle income,1,0.495345303,0.228696927,44.635066,2165.946473,2.006324636,2.717157992,,,,,,,,21,93.04520641,17.62219818,-75.42300823,43.512,109.6728395,,63.995,116.1617584,,88835,1.737298151,,,,,,,62.97,,1.456790123,3.719547626,810,0,0.045014657,0,0,0.045014657,0,0,47.15768445,23.44767607,,,NA,,0.1624471,8.829175906,,0,0,0
St. Kitts and Nevis,KNA,2003,Latin America & Caribbean,High income,0,4.328356904,0.204222166,,21194.35406,-3.93339486,3.878917347,,21.50191734,21.85840128,-2.374504884,21.50396882,0.005993536,45.4048091,,,,,32.312,175.9576923,0.009316447,,107.4714584,,45749,1.278106205,2.235436644,10.37383558,,,,,471.19,7.857142857,42.30769231,3.68328581,260,0,0,0,0,0,0,0,62.44202269,1.780050182,,,NA,,0.3235539,24.35023434,,0,0,8.895621266
"Korea, Rep.",KOR,2003,East Asia & Pacific,High income,1,9.734649494,0.369315714,546211.1138,26358.61168,3.147291194,5.595173967,3.599999905,17.30112639,0.801109493,1.563930783,13.69345757,3.561061078,3.035475001,17,29.77676402,31.39783726,1.621073248,80.652,494.7554752,1.45942304,77.21463415,99.91718292,6977.317662,47892330,0.518321453,3.514879242,2.693739372,32.27961522,27.61000061,33.09735075,5786.9,102.63,427.0466365,66.625,7.526643226,99600,1.492754763,0.020712712,0.007673185,0,0.012140435,0.000899092,6977.317662,30.94602561,2.964597278,8.81000042,Assembly-Elected President,Right,8,0.5583808,33.11125973,63.58000183,0,0,21.60182976
Kuwait,KWT,2003,Middle East & North Africa,High income,1,27.72100585,0.439956499,74340.5263,63008.51543,17.32602042,1.959048641,1.299999952,37.78597062,1.341582679,,,93.43764634,1.315246154,35.4,34.46366491,52.0915106,17.62784569,100,121.303367,0.167306428,73.355,101.220108,16387.66373,2161626,1.145914378,0.961350294,0.472936585,16.63255579,20.65999985,33.92841181,10253.4,47.84,83.33333333,0.295735129,5.253599971,17820,0,40.30778535,0,0.435440029,0.000416082,0,16387.66373,,0.454889537,2.589999914,Presidential,NA,-7,0.7991259,0,76.76000214,39.87192924,0.435440029,0.535608873
Lao PDR,LAO,2003,East Asia & Pacific,Lower middle income,1,0.222914336,0.068690794,20412.978,3245.185009,6.067002304,5.748584611,1.620000005,,,,,,16.6352132,135,37.07166272,23.50043316,-13.57122956,25.126,24.16221837,,60.502,108.4670715,,5576640,1.506710686,15.48935292,15.02855589,27.77152163,5.400000095,11.19180615,3116.7,40.85,,74.86850087,4.711783396,236800,90.90390161,6.467637168,0.716757913,0,5.687154809,0.063724447,0,64.51923944,32.08611458,79.37000275,Parliamentary,NA,-7,-1.182076,20.12014415,15.22999954,0,0,0
Lebanon,LBN,2003,Middle East & North Africa,Upper middle income,1,4.142988236,0.297161455,20293.94799,13941.87628,3.227098269,2.348965975,8.010000229,30.47226588,,-13.25112633,15.37671346,0.231199845,60.20984767,53,37.35425268,16.73658134,-20.61767135,86.366,428.9711632,7.411999823,75.969,,2499.786367,4388375,4.812037969,,11.66594611,19.16102395,24.20999908,-19.60054328,2372,101.3,234.3497059,13.4829912,4.948095935,10450,10.83207502,0.00160304,0,0,0.00160304,0,2499.786367,,5.486374897,17.69000053,Presidential,Right,,-0.6652666,18.31213873,58.09999847,0,0,15.63490185
Liberia,LBR,2003,Sub-Saharan Africa,Low income,1,0.152540511,0.130009124,2062.90724,1173.306195,-30.14513259,3.341645625,2.329999924,,,,,,,,35.86298128,36.05768717,0.194705882,45.361,31.94620017,,53.554,,,3077058,1.7152445,10.33028812,1.337681025,23.79807487,10.88000011,,833.3,82.22,,84.42545681,31.17629532,111370,0,34.21080424,0.005175527,0,34.20562871,0,0,92.00226307,72.2403877,51.90999985,Presidential,Left,1,-1.262588,4.149037433,37.22000122,0,0,0
Libya,LBY,2003,Middle East & North Africa,Upper middle income,1,8.747749285,0.498346534,68226.6741,17553.54695,13.01600108,0.319161914,19.22999954,,,,,,1.824324324,,33.29565735,57.31707317,24.02141582,76.768,3.194327495,,71.466,103.2519608,2947.755797,5620547,1.604426812,-2.19115192,-6.437945408,19.35899613,27.46999931,48.31583686,620,90.37,19.54710193,0.123327688,5.658894612,1759540,0,49.51507114,0,0.43654175,0.059311774,0,2947.755797,99.22623308,4.09220702,24.88999939,Presidential,Left,-7,-0.8847084,70.89381321,47.63999939,49.01921761,0.43654175,0.682894165
St. Lucia,LCA,2003,Latin America & Caribbean,Upper middle income,1,2.238622064,0.17488343,427.33425,12800.65278,4.264611487,1.202841962,22.18000031,17.50138785,22.42571482,-4.86807952,16.16695424,0,72.28559612,,,,,25.216,263.1639344,0.787650852,73.808,103.4391327,,160530,0.71142641,1.034253724,9.287497971,,16.60000038,,,210.38,,34.32459016,3.2824737,620,0,0.009552621,0,0,0.009552621,0,0,99.72154385,0,19.79999924,,NA,,0.3235539,0,63.59999847,0,0,11.21982976
Liechtenstein,LIE,2003,Europe & Central Asia,High income,1,,,,,-1.937565341,3.933073344,,,,,,,,,,,,14.85,213.59375,,79.96097561,106.1243973,,34175,0.86990292,,,,,,,97.99,,41.87375,,160,0,0.008829964,0,,0.008829964,,,22.8737876,0,,,NA,,1.37669,0,,NA,NA,0
Sri Lanka,LKA,2003,South Asia,Lower middle income,1,0.576258098,0.091437385,24580.3804,6302.215434,5.940269078,3.483652851,8.220000267,20.47783555,6.814385907,-6.862123231,12.71067585,0.018624765,10.8345342,56,40.6827445,34.65350283,-6.029241666,18.334,306.5545686,2.85516106,73.799,102.7808228,326.2582152,19224037,0.8439313,6.314637871,1.468679127,22.02046895,23.70000076,21.85443724,3282.6,74.31,259.1842105,34.24621273,3.220448099,65610,42.89787455,0.196684505,0,0,0.196684505,0,326.2582152,96.9267106,13.23051488,39.15000153,Parliamentary,Left,5,-0.2262302,28.42457042,37.15000153,0,0,11.31163772
Lesotho,LSO,2003,Sub-Saharan Africa,Lower middle income,1,0.957470664,0.53827177,4650.1065,1778.786699,4.559776811,2.034929142,32.72000122,33.93099409,,0.916807034,27.11488202,0.062408445,,138,,,,21.137,66.48050066,0.097403393,43.845,122.3311615,,2018348,-0.567219802,6.629163571,13.25297161,,13.43000031,,609.1,101.38,,1.137022398,13.52096814,30360,100,5.468173675,0,0,5.468173675,0,0,90.2161117,6.346886124,56.20999908,Presidential,Right,8,-0.170642,36.47028812,30.36000061,0,0,6.429560366
Lithuania,LTU,2003,Europe & Central Asia,High income,1,3.754816757,0.209804024,21789.3066,17896.78143,10.56595699,4.661447294,12.88000011,31.56197755,10.07507395,-1.229970265,19.06385443,19.43329207,8.64596715,26,52.01392241,46.22098408,-5.792938329,66.737,54.48648692,1.578727418,72.06097561,102.963089,3087.655148,3415213,-0.812278097,-1.13430855,,21.96890618,27.23999977,15.48304547,3037,65.3,124.5901639,32.94511806,7.324032051,65300,1.763331209,0.693253477,0,0,0.495037512,0,3087.655148,89.34119113,4.422853915,18.70999908,,NA,10,0.3789164,27.85768237,54.04999924,0.198215965,0,16.78009035
Luxembourg,LUX,2003,Europe & Central Asia,High income,1,21.93071098,0.218115022,12047.2209,100546.5409,1.629285585,5.823379731,3.680000067,38.29694296,0.670665322,0.277476641,24.66696884,0.479403295,7.903906258,,115.2008245,138.9002279,23.69940342,85.743,185.8559671,4.484181687,77.72682927,99.41078949,16258.88449,451630,1.21520088,2.049840306,,20.45693814,19.29000092,32.40976759,5678,107.51,267.4677419,35.92592593,4.276109155,2590,5.01972033,0.015122494,0,0,0.015122494,0,16258.88449,96.96364962,0.503200155,2.720000029,Parliamentary,Right,10,1.692841,16.15927499,77.98999786,0,0,5.915902145
Latvia,LVA,2003,Europe & Central Asia,High income,1,3.221510038,0.195414722,12783.2611,16485.50331,8.434475033,5.631882455,12.06000042,39.76449368,8.76034599,-2.00040926,20.24331601,1.377208789,6.94143884,16,48.65778272,36.1155612,-12.54222151,67.8,36.78620812,3.951017084,71.26585366,105.0161514,2493.930169,2287955,-0.966400801,2.942647529,,30.11072506,27.06999969,21.36441737,2176,55.04,49.49425287,52.74191266,5.627461176,64559,58.81761006,1.752076428,0,0,1.752076428,0,2493.930169,84.31138174,3.942614437,14.23999977,,NA,8,0.2769963,21.35829414,58.68000031,0,0,9.394114821
"Macao SAR, China",MAC,2003,East Asia & Pacific,High income,1,3.330992144,0.056479533,,58976.97785,11.6529262,2.130653614,6,14.67087835,1.738537065,4.829418918,20.17363127,0,68.23151304,,58.29099096,93.44479265,35.15380169,100,17043.14815,0.310894097,81.089,101.1852493,,460165,2.496097626,-1.561384365,5.914454299,13.72044908,26.86000061,45.63277059,,85.22,,,1.023395902,27,0,0.00167601,0,0,0.00167601,0,0,98.51095824,0,0.400000006,,NA,,0.8889436,9.609943104,72.73999786,0,0,7.210778578
St. Martin (French part),MAF,2003,Latin America & Caribbean,High income,1,,,,,,,,,,,,,,,,,,,589.2095588,,77.57073171,,,32053,3.631102659,,,,,,,,,18.38235294,,54.4,0,,,,,,,12.99901109,,,,NA,,,0,,NA,NA,0
Morocco,MAR,2003,Middle East & North Africa,Lower middle income,0,1.261163325,0.251762905,54270.6439,4946.482268,5.961162155,4.134835068,11.92000008,23.19376889,1.71239293,-4.052805075,18.78977248,2.615135165,30.825748,35,30.82396568,27.503777,-3.320188683,54.317,66.73287923,7.06029663,70.399,105.0037613,581.6427986,29782884,1.107806757,1.167733675,,29.03533518,20.18000031,32.69978753,1432.9,79.32,55.31120928,12.45115169,3.227412382,446550,10.00723851,0.629960469,0.427449779,0.001971467,0.197001396,0,581.6427986,65.0494745,13.92310593,43.90000153,Presidential,NA,-6,-0.2600439,25.99722338,35.93000031,0.003537827,0.001971467,15.57234543
Monaco,MCO,2003,Europe & Central Asia,High income,1,,,,,1.087536596,2.785653253,,,,,,,,,,,,100,16355.69808,,,,,33153,1.052178478,,,,,,,,,,,2.027,0,0,0,,0,,,19.54712898,,,,NA,,,0,,NA,NA,0
Moldova,MDA,2003,Europe & Central Asia,Lower middle income,1,1.478262218,0.237179719,11996.30032,6232.667048,6.600000038,1.21945391,7.949999809,22.21659003,7.64387498,1.985227561,14.67287013,0.595899463,8.432423201,42,86.74333973,53.3131902,-33.43014953,43.389,101.1014735,2.803885015,67.521,99.48654175,2616.527468,2902320,-0.28158449,11.74607921,3.850743784,23.17759875,16.04999924,15.10669678,2353.5,94.74,7.533875339,10.75235777,13.61405635,33840,6.313850276,0.260696875,0,0.000381359,0.236771216,0,2616.527468,,18.3282016,43,,NA,8,-0.8473928,20.67288099,40.95000076,0.023544301,0.000381359,20.53190603
Madagascar,MDG,2003,Sub-Saharan Africa,Low income,1,0.098470636,0.065591375,163798.098,1501.274143,9.784892121,1.329085048,5.010000229,9.640411871,,-3.167856341,8.597800286,4.280068182,14.6642939,67,20.3364401,13.69416282,-6.642277282,27.936,29.71272999,1.411854298,60.256,118.2547379,,17279141,3.019969277,-1.704004796,26.40392901,13.72456569,6.710000038,10.35325577,2201.7,74.25,2.359620339,22.16539361,5.246827533,587040,59.76263893,5.218665482,0,0,5.218665482,0,0,,32.02979096,77.98000336,Presidential,Left,7,-0.1963035,12.06929537,15.31000042,0,0,15.94388261
Maldives,MDV,2003,South Asia,Upper middle income,1,1.671867928,0.115680402,0,14452.47332,13.75004982,4.168180241,4.389999866,17.41793985,1.32152332,-3.445421022,9.420701834,,,9,,,,31.252,1008.943333,0.291046637,72.399,123.9351883,,302683,2.847383288,,6.928657382,,23.98999977,,1502.4,153.92,8,2.733333333,2.957863066,300,0,0.005158485,0,0,0.005158485,0,0,82.21699509,5.311193055,17.79000092,Presidential,NA,,-0.0530877,12.37545924,58.20999908,0,0,11.78177656
Mexico,MEX,2003,Latin America & Caribbean,Upper middle income,1,4.270511506,0.247388259,601685.72,17262.38554,1.446382684,2.483139704,3.460000038,,9.785506585,,,11.23267296,5.66894009,,25.84524877,24.36044069,-1.484808079,75.682,53.0265799,1.211345261,75.118,109.5061417,2001.018228,103081020,1.363786131,4.546900121,2.867224184,21.09587417,25.93000031,19.44685799,2964,79.32,66.75558092,34.95457085,4.489972699,1964380,12.12571491,3.546823953,0.049489091,0.088951843,0.067649621,0.005132895,2001.018228,100,3.387486496,16.17000008,Presidential,Left,8,-0.1670818,31.19107727,57.90999985,3.335600503,0.088951843,3.332833037
Marshall Islands,MHL,2003,East Asia & Pacific,Upper middle income,0,1.989355732,0.562123108,0,3539.003653,-1.615867178,1.969419816,,,,,,,,22,86.63127813,30.15293173,-56.4783464,70.13,296.9777778,,,110.9457092,,53456,2.052497732,,,,,,,137.33,2,52.22222222,6.890925734,180,0,0,0,,0,,,73.12430691,6.853883416,,,NA,,-0.8329695,11.86634551,,NA,NA,0
North Macedonia,MKD,2003,Europe & Central Asia,Upper middle income,0,5.507394958,0.541027576,0,10179.50878,2.222601657,2.138661638,36.68999863,,3.408937064,,,5.411184761,6.617731205,60,43.41295302,27.65636747,-15.75658556,57.921,80.74817145,4.674991024,73.781,93.17681122,3108.950603,2053426,0.219288818,0.855562123,,17.92931736,33.90999985,15.90532961,2422.3,74.03,40.17197452,37.68832088,6.624865669,25710,20.39180766,0.867787755,0.528511995,0,0.183021002,0.156254758,3108.950603,,11.53877645,22.04000092,,NA,9,-0.6358652,22.48840689,44.04999924,0,0,14.00014146
Mali,MLI,2003,Sub-Saharan Africa,Low income,1,0.071609767,0.037099529,67302.869,1930.206886,9.119041995,6.338864806,7.860000134,12.93894075,,-1.329865101,12.76795381,0.572565493,11.80456403,33,32.85880131,25.76934039,-7.089460918,30.547,9.820351748,0.032552172,50.373,67.69084167,,11982695,3.100371029,-1.34672619,,20.81183597,8.170000076,15.25230602,981.4,48.6,12.86274655,10.89666363,3.695818039,1240190,51.51267375,6.771677913,2.731064199,0,4.040613713,0,0,94.80203398,29.87662985,70.98999786,Presidential,NA,7,-0.6738481,22.75920793,20.84000015,0,0,17.62671128
Malta,MLT,2003,Middle East & North Africa,High income,1,6.476880542,0.22817037,2955.31074,28386.15958,4.074067589,3.601267411,7.489999771,98.47741151,,-20.84310986,54.06966944,0.026749758,21.48988684,,110.3714585,107.5222201,-2.849238482,93.16,1245.56875,0.270556652,78.54634146,103.0750198,4872.272205,398582,0.657732334,1.303837774,3.90532385,22.83870256,29.87999916,18.68592901,4013.6,93.38,94.19354839,1.09375,3.461034499,320,0,0,0,0,0,0,4872.272205,,1.961634024,2.460000038,Parliamentary,Left,,0.9545633,24.75403929,67.66000366,0,0,7.966665419
Myanmar,MMR,2003,East Asia & Pacific,Lower middle income,1,0.204488464,0.135683817,187353.37,1507.095459,13.84399689,10.78535684,0.829999983,3.057609629,1.586744223,-2.671689179,2.210411864,,2.682614589,,0.158394556,0.207565072,0.049170516,27.575,73.67399394,,60.989,98.86145782,79.93951762,48148902,0.932142376,36.58971753,-1.688845967,,14.47000027,,3236.8,70.04,10.30900416,51.77950393,6.926902181,676590,38.24884793,12.21975036,0.005140536,3.249781211,7.835705142,0.022077891,79.93951762,99.16231644,50.62056086,57.83000183,Assembly-Elected President,Left,-7,-1.481886,14.2582574,27.70000076,1.107045575,3.249781211,0
Montenegro,MNE,2003,Europe & Central Asia,Upper middle income,1,,,,12996.93028,2.482659361,0.320756426,30.62999916,,3.256899334,,,,,,46.98714281,30.6112462,-16.37589661,61.568,45.52171004,,73.37,107.3564835,,612267,0.399151169,,,15.41392518,23.37999916,,,,,46.54275093,,13810,0,0.176843787,0.176843787,,0,,,,9.914987339,9.350000381,,NA,,-0.4011799,19.3294873,67.26999664,NA,NA,0
Mongolia,MNG,2003,East Asia & Pacific,Lower middle income,1,3.254423472,0.641339196,39185.705,5074.418489,7.004634575,3.048411351,6.800000191,24.60041063,13.89358647,-0.380613904,18.03874557,2.253596789,18.43824836,24,67.94734398,52.35204953,-15.59529445,60.378,1.589099874,33.28365422,64.23,105.4134064,1139.437499,2468762,1.037909511,5.128994994,19.65780615,32.26278842,11.92000008,25.21987572,785.3,46.21,3.405875861,9.165980072,8.211415501,1564120,0,8.480238254,6.144818456,0,0.765254736,1.367450413,1139.437499,73.68151213,18.43951721,46.70000076,Presidential,Left,10,-0.2017621,25.21995515,41.38000107,0.202714649,0,19.86369803
